"Picture Count","MLS #","Class","Type","Area","Price","Address","City","State","Zip","Status","Expiration Date","Tour/Open House - Start Date","Tour/Open House - Start Time","Tour/Open House - End Time","Tour/Open House - Event Type"
"18","260004469","CONDO-COOP","Condominium","JC, Heights","$1,199,000","91 HANCOCK AVE","JC, Heights","NJ","07307","ACTIVE","8/13/2026","4/12/2026","11:30 AM EDT","1:30 PM EDT","Open House"
"18","260004469","CONDO-COOP","Condominium","JC, Heights","$1,199,000","91 HANCOCK AVE","JC, Heights","NJ","07307","ACTIVE","8/13/2026","4/11/2026","11:30 AM EDT","1:30 PM EDT","Open House"
"25","260003652","CONDO-COOP","Condominium","JC, Heights","$1,199,000","31 GRAHAM ST","JC, Heights","NJ","07307","ACTIVE","12/31/2026","4/11/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"25","260003652","CONDO-COOP","Condominium","JC, Heights","$1,199,000","31 GRAHAM ST","JC, Heights","NJ","07307","ACTIVE","12/31/2026","4/12/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"31","260005898","CONDO-COOP","Condominium","JC, Heights","$1,199,999","252 BOWERS ST","JC, Heights","NJ","07307-1111","ACTIVE","6/5/2026","4/11/2026","12:30 PM EDT","2:30 PM EDT","Open House"
"37","260004715","CONDO-COOP","Condominium","JC, Heights","$1,200,000","45 CHARLES ST","JC, Heights","NJ","07307","ACTIVE","11/30/2026","4/11/2026","12:00 PM EDT","3:00 PM EDT","Open House"
"37","260004715","CONDO-COOP","Condominium","JC, Heights","$1,200,000","45 CHARLES ST","JC, Heights","NJ","07307","ACTIVE","11/30/2026","4/12/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"43","250024852","CONDO-COOP","Condominium","JC, Heights","$1,240,000","10 SOUTH ST","JC, Heights","NJ","07307","ACTIVE","11/30/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"43","260004352","CONDO-COOP","Condominium","JC, Heights","$1,240,000","10 SOUTH ST","JC, Heights","NJ","07307","ACTIVE","3/11/2027","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"39","260001971","CONDO-COOP","Condominium","JC, Heights","$1,249,000","15 ZABRISKIE ST","JC, Heights","NJ","07307","ACTIVE","7/13/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"35","260002949","CONDO-COOP","Condominium","JC, Heights","$1,250,000","33 GRAHAM ST","JC, Heights","NJ","07307","ACTIVE","8/19/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"25","260003711","CONDO-COOP","Condominium","JC, Heights","$1,250,000","139 NEW YORK AVE","JC, Heights","NJ","07307","ACTIVE","8/24/2026","4/12/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"25","260003711","CONDO-COOP","Condominium","JC, Heights","$1,250,000","139 NEW YORK AVE","JC, Heights","NJ","07307","ACTIVE","8/24/2026","4/11/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"23","260003651","CONDO-COOP","Condominium","JC, Heights","$1,299,000","31 GRAHAM ST","JC, Heights","NJ","07307","ACTIVE","12/31/2026","4/11/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"23","260003651","CONDO-COOP","Condominium","JC, Heights","$1,299,000","31 GRAHAM ST","JC, Heights","NJ","07307","ACTIVE","12/31/2026","4/12/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"31","250021809","CONDO-COOP","Condominium","Hoboken","$1,325,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","10/21/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"31","250021809","CONDO-COOP","Condominium","Hoboken","$1,325,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","10/21/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"25","260003109","CONDO-COOP","Condominium","JC, Heights","$1,325,000","617 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","5/31/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"25","260003109","CONDO-COOP","Condominium","JC, Heights","$1,325,000","617 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","5/31/2026","4/11/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"16","260006295","CONDO-COOP","Condominium","Hoboken","$1,385,000","1325 ADAMS ST","Hoboken","NJ","07030","ACTIVE","7/8/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
